;PRKCZ;PCSK9;CYP2J2;RORC;AIM2;RGS5;NR5A2;ATF3;TLR5;NLRP3;DNAJC27;POMC;XDH;CD8A;MERTK;IL1RN;DPP4;DHRS9;STAT4;CD28;CCL20;NPPC;PPARG;CX3CR1;CCR2;CCR5;TLR9;WNT5A;CD86;GATA2;AGTR1;MME;PPARGC1A;KLB;H3F3AP6;NR3C2;F2RL1;PPARGC1B;DOCK2;IRF4;LY86;PRL;TNF;HMGA1;TREM2;ARG1;ENPP1;SGK1;CCR6;GPER1;GCK;CCM2;HGF;STEAP4;MET;KCP;NOS3;ANGPT2;ADAM28;NRG1;FABP5;ABCA1;LCN2;ABO;CARD9;GATA3;TMEM26;RBP4;SFRP5;DUSP5;CYP2E1;SIRT3;PDE3B;CSRP3;CD248;CD3E;VDR;SENP1;NR4A1;GPR84;AGAP2;IFNG;TRPV4;RIPK3;CYP19A1;AQP9;RORA;DAPK2;NRG4;SOCS1;NLRC5;SLC2A4;SHBG;ADORA2B;SARM1;CCL5;CCL4;ACACA;DUSP14;SOCS7;CCR7;TBX21;MPO;ACE;AMH;TINCR;LDLR;ANGPTL8;CEACAM1;GIPR;NAPSA;LILRB4;NCR1;TRIB3;MACROD2;GHRH;LBP;FITM2;ADA;TRPM2;SLC19A1;S100B;USP18;MIF;GGT1;OSM;ADM2;ACE2
NAPSA;1;1;0;0;0;0;0;1;0;0;1;1;0;0;1;0;0;0;0;1;0;0;1;1;1;0;0;0;0;1;1;0;1;0;0;1;1;0;1;0;1;0;0;1;0;0;1;1;0;0;0;1;0;1;1;0;0;1;0;0;0;1;0;0;0;0;0;1;0;1;0;1;0;0;1;0;0;0;1;1;0;0;0;1;0;0;1;0;0;1;1;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;1;0;1;0;0;1;0;1;0;0;0;1;0;0;1;1;0;1;0;1;1;0
LILRB4;1;1;1;1;1;1;1;0;0;0;1;1;1;0;0;0;0;1;0;0;0;1;0;0;1;1;1;1;0;0;0;1;1;1;1;0;0;1;0;1;0;1;1;0;0;1;0;0;1;1;1;0;0;0;0;1;0;0;1;1;0;0;1;1;1;1;1;0;1;0;1;1;1;1;0;0;1;0;0;0;1;1;0;0;1;0;0;1;1;0;0;1;1;1;1;0;0;0;0;0;0;1;1;0;1;1;0;0;0;1;1;0;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0
NCR1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;1;0;0;1;1;0;0;1;0;0;0;0;0;1;1;1;0;0;0;0;1;1;0;1;0;1;0;0;1;1;0;1;1;0;0;0;1;0;1;1;0;0;1;0;0;1;1;0;0;0;0;0;1;0;1;0;0;0;0;1;0;0;0;1;0;0;0;0;1;0;0;1;1;0;1;1;0;0;0;0;1;1;1;1;1;0;0;0;1;0;0;1;0;0;0;0;1;0;1;0;0;0;1;1;0;1;1;1;1;1;1;1;0
TRIB3;0;0;1;1;1;1;1;0;1;0;0;1;1;1;0;0;0;1;0;0;0;1;0;0;0;1;1;1;0;0;0;0;1;1;1;0;0;1;0;1;0;1;1;0;0;1;0;0;1;1;1;0;1;0;0;1;0;0;1;1;0;0;0;1;1;1;1;0;1;0;1;0;1;1;0;1;1;1;0;0;1;1;0;0;1;0;0;1;1;0;0;0;1;1;1;0;0;0;0;0;0;0;1;0;1;1;0;0;0;1;1;0;1;0;1;1;1;0;0;1;0;0;0;0;0;0;0;0
MACROD2;0;0;0;0;0;0;0;1;0;0;0;0;0;1;1;1;0;0;1;1;1;0;1;0;0;0;0;0;1;1;1;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;1;1;0;0;0;1;1;1;1;0;0;0;0;0;1;1;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;1;1;0;0;1;1;0;0;0;0;1;1;1;1;1;0;0;0;0;0;1;1;0;0;0;0;1;0;1;0;0;0;1;1;0;1;1;1;1;1;1;1;1
GHRH;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;1;0;0;1;1;1;0;1;0;0;0;0;0;1;1;1;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;1;1;0;0;0;1;1;1;1;0;1;0;0;0;1;1;0;0;0;0;0;1;0;1;0;0;0;0;1;0;0;1;1;1;0;0;0;1;0;1;1;0;0;1;1;0;0;0;0;1;1;1;1;1;0;0;0;0;0;0;1;0;0;0;0;1;0;1;0;0;0;1;1;0;1;1;1;1;1;1;1;1
LBP;0;0;0;0;0;0;0;1;0;0;1;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;1;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;1;1;0;0;0;1;0;1;1;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;1;0;0;1;0;0;0;1;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;1;0;0;1;1;0;1;1;0;0;0
FITM2;1;1;1;1;1;1;1;0;0;1;1;1;1;1;0;0;1;1;1;0;1;1;0;1;1;1;1;1;0;0;0;1;1;1;1;0;0;1;0;1;0;1;1;0;0;1;0;0;1;0;1;0;1;0;0;1;0;0;1;1;0;0;1;1;1;1;1;0;1;0;1;1;1;1;0;1;1;0;0;0;1;1;1;0;1;0;0;1;1;0;0;1;1;1;1;0;0;0;0;0;0;1;1;1;1;1;0;1;1;1;1;0;1;0;1;1;1;0;0;0;0;0;0;0;1;0;0;0
ADA;1;1;1;1;1;1;1;0;0;0;1;1;1;0;0;0;0;0;0;0;0;1;0;1;1;1;1;1;0;0;0;0;1;1;1;0;0;1;0;1;0;1;1;0;0;1;0;0;1;0;1;0;0;0;0;1;0;0;0;1;0;0;1;1;0;1;1;0;1;0;1;1;1;1;0;0;1;1;0;0;0;1;0;0;1;0;0;1;1;0;0;0;1;1;1;0;0;0;0;0;0;1;1;0;1;1;0;0;0;1;0;0;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0
TRPM2;1;0;0;0;0;0;0;1;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;1;1;0;0;0;1;0;1;1;0;0;1;0;0;0;1;1;0;0;0;0;1;0;1;0;1;0;0;1;0;0;0;1;0;0;0;0;0;0;0;1;1;0;1;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;1;1;0;1;1;0;0;0
SLC19A1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;0;0;1;1;0;0;0;1;0;1;1;1;1;1;0;0;0;1;1;1;1;0;1;1;1;1;1;1;1;0;1;1;0;0;1;1;1;0;0;0;0;1;0;1;1;1;0;0;1;1;1;1;1;0;1;0;1;1;1;1;1;1;1;0;0;1;1;1;1;1;1;1;0;0;1;0;0;1;1;1;1;0;0;0;0;0;1;1;1;1;1;1;0;1;1;1;1;0;1;0;1;1;1;0;0;1;0;0;0;0;0;0;1;0
S100B;1;1;1;1;1;1;1;0;1;1;1;1;1;1;0;0;0;1;0;0;0;1;0;1;1;1;1;1;0;0;0;1;1;1;1;0;0;1;0;1;0;1;1;0;0;1;0;0;1;1;1;0;0;0;0;1;0;0;1;1;0;0;1;1;1;1;1;0;1;0;1;1;1;1;0;1;1;0;0;0;1;1;1;0;1;0;0;1;1;0;0;1;1;1;1;0;0;0;0;0;0;1;1;0;1;1;0;0;1;1;1;0;1;0;1;1;1;0;0;1;0;0;0;0;0;0;1;0
USP18;1;1;1;1;1;1;1;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;1;1;1;1;0;0;0;0;0;1;1;1;0;0;1;0;1;0;1;1;0;0;1;0;0;1;0;1;0;0;0;0;1;0;0;1;1;0;0;1;1;1;1;1;0;1;0;1;1;1;1;0;0;1;0;0;0;1;1;0;0;1;0;0;1;1;0;0;1;1;1;1;0;0;0;0;0;0;1;1;0;1;1;0;0;1;1;0;0;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0
MIF;1;1;1;1;1;1;1;0;1;1;1;1;1;1;0;0;0;1;0;1;0;1;0;1;1;1;1;1;0;0;0;1;1;1;1;0;1;1;1;1;1;1;1;0;1;1;0;0;1;1;1;0;0;0;0;1;0;1;1;1;0;0;1;1;1;1;1;0;1;0;1;1;1;1;1;1;1;0;0;1;1;1;1;1;1;1;0;0;1;0;0;1;1;1;1;0;1;0;0;0;1;1;1;1;1;1;0;0;1;1;1;0;1;0;1;1;1;0;0;1;0;0;0;0;0;0;1;1
GGT1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;0;0;0;1;0;0;0;1;0;1;1;1;1;1;0;0;0;0;1;1;1;0;1;1;1;1;1;1;1;0;1;1;0;0;1;1;1;0;0;0;0;1;0;0;1;1;0;0;1;1;1;1;1;0;1;0;1;1;1;1;0;1;1;0;0;1;1;1;1;0;1;0;0;0;1;0;0;1;1;1;1;0;0;0;0;0;0;1;1;0;1;1;0;0;1;1;0;0;1;0;1;1;1;1;0;1;0;0;0;0;0;0;0;0
OSM;1;1;1;1;1;1;1;0;0;0;1;1;1;0;0;0;0;1;0;0;0;1;0;1;1;1;1;1;0;0;0;1;1;1;1;0;0;1;0;1;0;1;1;0;0;1;0;0;1;1;1;0;0;0;0;1;0;0;1;1;0;0;1;1;1;1;1;0;1;0;1;1;1;1;0;0;1;0;0;0;1;1;0;0;1;0;0;1;1;0;0;1;1;1;1;0;0;0;0;0;0;1;1;0;1;1;0;0;0;1;1;0;1;0;1;1;0;0;0;0;0;0;0;0;0;0;1;0
ADM2;0;1;1;0;1;1;1;0;0;1;1;1;1;1;0;1;0;0;0;0;1;1;0;0;0;1;1;0;0;0;0;0;1;1;1;1;0;1;0;0;0;0;1;0;0;1;1;0;1;0;1;0;0;0;0;0;0;1;0;1;0;0;1;0;1;1;1;0;1;0;1;1;1;1;0;0;0;0;0;1;1;1;0;0;1;0;1;1;1;1;0;1;1;1;1;1;0;0;0;0;0;1;1;0;1;1;0;0;0;1;1;0;1;0;1;1;0;0;0;0;1;1;0;1;0;1;0;0
ACE2;1;1;1;1;1;1;1;0;0;0;0;1;1;0;0;0;0;0;0;0;0;1;0;0;0;1;1;0;0;0;0;0;1;1;1;0;0;1;0;1;0;1;1;0;0;1;0;0;1;0;1;0;1;0;1;1;0;0;0;1;0;0;1;1;1;1;1;0;1;0;1;0;0;1;0;0;1;0;0;1;1;1;0;0;1;0;0;1;1;0;0;0;1;1;0;0;0;0;0;0;0;1;1;0;1;1;0;0;1;1;0;0;0;0;1;1;0;0;0;0;0;0;0;1;0;0;0;0
